year,round,market,subject,line,prob,actual
2025,1,player_marks,Zach Merrett,4.0,0.7165775401069518,0
2025,1,player_marks,Zach Merrett,6.0,0.3049114933931688,0
2025,1,player_tackles,Zach Merrett,3.0,0.9481865284974094,1
2025,1,player_tackles,Zach Merrett,5.0,0.3959798994974875,0
2025,1,player_disposals,Andrew McGrath,15.0,0.9093959731543624,1
2025,1,player_disposals,Andrew McGrath,20.0,0.6948798328108673,1
2025,1,player_disposals,Andrew McGrath,25.0,0.3515358361774744,1
2025,1,player_goals,Andrew McGrath,1.0,0.0767634854771784,0
2025,1,player_marks,Andrew McGrath,4.0,0.7389975550122252,1
2025,1,player_marks,Andrew McGrath,6.0,0.3260680034873583,1
2025,1,player_tackles,Andrew McGrath,3.0,0.4613997113997114,1
2025,1,player_tackles,Andrew McGrath,5.0,0.0626334519572953,0
2025,1,player_disposals,Jye Caldwell,15.0,0.8620689655172413,1
2025,1,player_disposals,Jye Caldwell,20.0,0.5329512893982808,1
2025,1,player_disposals,Jye Caldwell,25.0,0.2622432859399684,1
2025,1,player_goals,Jye Caldwell,1.0,0.1922723091076356,1
2025,1,player_marks,Jye Caldwell,4.0,0.6372759856630822,1
2025,1,player_marks,Jye Caldwell,6.0,0.2285223367697594,0
2025,1,player_tackles,Jye Caldwell,5.0,0.6020025031289111,1
2025,1,player_disposals,Archie Roberts,15.0,0.9093959731543624,1
2025,1,player_disposals,Archie Roberts,20.0,0.6948798328108673,0
2025,1,player_disposals,Archie Roberts,25.0,0.3515358361774744,0
2025,1,player_goals,Archie Roberts,1.0,0.1661303298471439,0
2025,1,player_marks,Archie Roberts,4.0,0.7389975550122252,1
2025,1,player_marks,Archie Roberts,6.0,0.3260680034873583,0
2025,1,player_tackles,Archie Roberts,3.0,0.8041958041958043,1
2025,1,player_tackles,Archie Roberts,5.0,0.2029537875178656,0
2025,1,player_disposals,Jordan Ridley,15.0,0.7209876543209874,0
2025,1,player_disposals,Jordan Ridley,20.0,0.3353242320819113,0
2025,1,player_disposals,Jordan Ridley,25.0,0.1400795404330535,0
2025,1,player_goals,Jordan Ridley,1.0,0.0767634854771784,0
2025,1,player_marks,Jordan Ridley,4.0,0.9012658227848102,0
2025,1,player_marks,Jordan Ridley,6.0,0.6266601082144612,0
2025,1,player_tackles,Jordan Ridley,3.0,0.103448275862069,0
2025,1,player_disposals,Sam Durham,15.0,0.7731854838709677,1
2025,1,player_disposals,Sam Durham,20.0,0.4363207547169811,1
2025,1,player_disposals,Sam Durham,25.0,0.1690240452616691,0
2025,1,player_goals,Sam Durham,1.0,0.2332822868810617,0
2025,1,player_marks,Sam Durham,4.0,0.6372759856630822,0
2025,1,player_marks,Sam Durham,6.0,0.230712711241734,0
2025,1,player_tackles,Sam Durham,3.0,0.8135593220338984,1
2025,1,player_tackles,Sam Durham,5.0,0.227027027027027,0
2025,1,h2h,Geelong,,0.7129166666666666,1
2025,1,h2h,Fremantle,,0.279,0
2025,1,total_points,total,175.5,0.4878333333333333,1
2025,1,player_disposals,Max Holmes,15.0,0.7731854838709677,1
2025,1,player_disposals,Max Holmes,20.0,0.4363207547169811,1
2025,1,player_disposals,Max Holmes,25.0,0.16821602478973,0
2025,1,player_goals,Max Holmes,1.0,0.2554744525547445,1
2025,1,player_marks,Max Holmes,4.0,0.7389975550122252,1
2025,1,player_marks,Max Holmes,6.0,0.3250773993808049,0
2025,1,player_tackles,Max Holmes,3.0,0.3627741553052756,1
2025,1,player_disposals,Tom Stewart,15.0,0.8310626702997275,1
2025,1,player_disposals,Tom Stewart,20.0,0.4840478564307078,1
2025,1,player_disposals,Tom Stewart,25.0,0.1987704918032787,0
2025,1,player_goals,Tom Stewart,1.0,0.1888475836431226,0
2025,1,player_marks,Tom Stewart,4.0,0.7943067033976124,1
2025,1,player_marks,Tom Stewart,6.0,0.3886059834500318,1
2025,1,player_tackles,Tom Stewart,3.0,0.5205327413984462,0
2025,1,player_tackles,Tom Stewart,5.0,0.0786948176583492,0
2025,1,player_disposals,Gryan Miers,15.0,0.6043587594300083,0
2025,1,player_disposals,Gryan Miers,20.0,0.2313915857605178,0
2025,1,player_disposals,Gryan Miers,25.0,0.0798502807236431,0
2025,1,player_goals,Gryan Miers,1.0,0.4670704012112036,1
2025,1,player_goals,Gryan Miers,2.0,0.1661303298471439,0
2025,1,player_marks,Gryan Miers,4.0,0.560294117647059,1
2025,1,player_marks,Gryan Miers,6.0,0.175,1
2025,1,player_tackles,Gryan Miers,3.0,0.8797595190380761,1
2025,1,player_tackles,Gryan Miers,5.0,0.2793076317859954,1
